drugBank_id,Smiles,cancer
DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,1
DB00014,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,1
DB00091,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,1
DB00104,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,0
DB00120,N[C@@H](CC1=CC=CC=C1)C(O)=O,0
DB00123,NCCCC[C@H](N)C(O)=O,0
DB00125,N[C@@H](CCCNC(N)=N)C(O)=O,0
DB00126,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,0
DB00127,NCCCNCCCCNCCCN,0
DB00128,N[C@@H](CC(O)=O)C(O)=O,0
DB00129,NCCC[C@H](N)C(O)=O,0
DB00130,N[C@@H](CCC(N)=O)C(O)=O,0
DB00133,N[C@@H](CO)C(O)=O,0
DB00134,CSCC[C@H](N)C(O)=O,0
DB00135,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,0
DB00136,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,1
DB00138,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,0
DB00139,OC(=O)CCC(O)=O,0
DB00143,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,0
DB00144,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,0
DB00145,NCC(O)=O,0
DB00148,CN(CC(O)=O)C(N)=N,0
DB00149,CC(C)C[C@H](N)C(O)=O,0
DB00150,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,0
DB00151,N[C@@H](CS)C(O)=O,0
DB00152,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0
DB00155,N[C@@H](CCCNC(N)=O)C(O)=O,0
DB00156,C[C@@H](O)[C@H](N)C(O)=O,0
DB00158,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1
DB00160,C[C@H](N)C(O)=O,0
DB00161,CC(C)[C@H](N)C(O)=O,0
DB00166,OC(=O)CCCC[C@@H]1CCSS1,0
DB00167,CC[C@H](C)[C@H](N)C(O)=O,0
DB00168,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,0
DB00169,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,1
DB00172,OC(=O)[C@@H]1CCCN1,0
DB00173,NC1=C2NC=NC2=NC=N1,0
DB00174,N[C@@H](CC(N)=O)C(O)=O,0
DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,1
DB00183,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,0
DB00184,CN1CCC[C@H]1C1=CN=CC=C1,0
DB00188,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,1
