Smiles,cancer
NCCCC[C@H](N)C(O)=O,0.0
N[C@@H](CCCNC(N)=N)C(O)=O,0.0
CCCCC(CC)CCC(CC(C)C)OS(O)(=O)=O,0.0
NCCCNCCCCNCCCN,0.0
N[C@@H](CC(O)=O)C(O)=O,0.0
NCCC[C@H](N)C(O)=O,0.0
N[C@@H](CCC(N)=O)C(O)=O,0.0
N[C@@H](CO)C(O)=O,0.0
CSCC[C@H](N)C(O)=O,0.0
[Ca++].[Ca++].[Ca++].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O,0.0
ClC(Cl)Cl,0.0
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,0.0
OC(=O)CCC(O)=O,0.0
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,0.0
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,0.0
NCC(O)=O,0.0
CN(CC(O)=O)C(N)=N,0.0
CC(C)C[C@H](N)C(O)=O,0.0
N[C@@H](CS)C(O)=O,0.0
N[C@@H](CCCNC(N)=O)C(O)=O,0.0
C[C@@H](O)[C@H](N)C(O)=O,0.0
[Fe++].NCC([O-])=O.NCC([O-])=O,0.0
C[C@H](N)C(O)=O,0.0
CC(C)[C@H](N)C(O)=O,0.0
CN(CC(N)=O)C(=O)N(CCCl)N=O,1.0
CC[C@H](C)[C@H](N)C(O)=O,0.0
N[C@@H](CC(N)=O)C(O)=O,0.0
FCOC(C(F)(F)F)C(F)(F)F,0.0
CCC(O)(\C=C\Cl)C#C,0.0
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0.0
FC(F)OC(F)(F)C(F)Cl,0.0
CC(C)C[C@H](CN)CC(O)=O,0.0
[K+],0.0
ClCCNC(=O)N(CCCl)N=O,1.0
[Al],0.0
[Na+].OC([O-])=O,0.0
OCCCC(O)=O,0.0
OC(O)C(Cl)(Cl)Cl,0.0
O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],0.0
CCCC(CCC)C(O)=O,0.0
[Fe],0.0
[Pt],1.0
CCCCCON=O,0.0
CC[C@@H](CO)NCCN[C@@H](CC)CO,0.0
CN(C)C(=N)NC(N)=N,0.0
CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,0.0
CCCC(C)(COC(N)=O)COC(N)=O,0.0
NC(CO)(CO)CO,0.0
NC(=N)NO,1.0
C[Se]C[C@H](N)C(O)=O,1.0
[H]C([H])=O,0.0
CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,1.0
OP(O)(=O)OP(O)(O)=O,0.0
OC(=O)CC(O)(CC(O)=O)C(O)=O,0.0
OCC(=O)COP(O)(O)=O,1.0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.0
N[C@@H](CSCC(O)=O)C(O)=O,0.0
CC(O)C(O)=O,0.0
COCCOCCCCCC(=O)NCCCC[C@H](N)C(O)=O,0.0
[Ac],1.0
C\C(\C=N\N=C(N)N)=N/N=C(N)N,1.0
[N]=O,0.0
CCOC(N)=O,0.0
CC(C)C(CC=C)C(=O)NC(N)=O,0.0
[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,0.0
CCCl,0.0
O.O.O.O.O.O.O.O.O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Al+3].[Al+3].[O-]C([O-])=O,0.0
ClC=C(Cl)Cl,0.0
O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],0.0
O.[Na+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](NC(C)=O)C=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,1.0
[Na+].[Na+].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,0.0
O.O.[Na+].[Na+].[Na+].[Au+].[O-]S([S-])(=O)=O.[O-]S([S-])(=O)=O,0.0
[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],1.0
CCCC(=O)OCOC(=O)C(C)(C)C,1.0
[Fe+3],0.0
NC(N)=N,0.0
[177Lu],1.0
[Fe+3].[Fe+3].[Fe+3].[Fe+3].OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.OP([O-])(=O)OP([O-])([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
[Ga+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,0.0
[Cu+].F[B-](F)(F)F.COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-].COC(C)(C)C[N+]#[C-],0.0
OC(=O)CCCCCCCC(O)=O,1.0
CC(=O)NO,0.0
O.O=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O.[O-][Cl]=O,1.0
[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,0.0
[Zn++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S,0.0
O.O.[Ca++].OP([O-])([O-])=O,0.0
OP(=O)(NCCCl)NCCCl,1.0
[Fe++].[O-]C(=O)CCC([O-])=O,0.0
[KH],0.0
[Na+].[Na+].OP([O-])([O-])=O,0.0
[Li+].[OH-],0.0
[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,0.0
[Al+3].[O-]P([O-])([O-])=O,0.0
O.O.O.O.O.O.O.O.O.O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O,0.0
[Cl-].[Cl-].[Zn++],0.0
[Cl-].[Cl-].[Cl-].[67Ga+3],0.0
